sentence,word,ner
292-6,kader,O
292-6,spota,O
292-6,",",O
292-6,danes,O
292-6,že,O
292-6,montiramo,O
292-6,!,O
292-7,Hvala,O
292-7,vsem,O
292-7,podpornikom,O
292-7,in,O
292-7,sponzorjem,O
292-7,",",O
292-7,ki,O
292-7,ste,O
292-7,in,O
292-7,ki,O
292-7,še,O
292-7,boste,O
292-7,podprli,O
292-7,mojo,O
292-7,Adrifund,O
292-7,kampanjo,O
292-7,!,O
292-8,Hvala,O
292-8,celotni,O
292-8,izjemni,O
292-8,ekipi,O
292-8,",",O
292-8,hvala,O
292-8,vsem,O
292-8,",",O
292-8,ki,O
292-8,ste,O
292-8,video,O
292-8,omogočili,O
292-8,",",O
292-8,hvala,O
292-8,statistom,O
292-8,",",O
292-8,še,O
292-8,posebej,O
292-8,hvala,O
292-8,vsem,O
292-8,",",O
292-8,ki,O
292-8,ste,O
292-8,se,O
292-8,honorarju,O
292-8,odpovedali,O
292-8,",",O
292-8,da,O
292-8,spot,O
292-8,sploh,O
292-8,lahko,O
292-8,pripeljemo,O
292-8,do,O
292-8,konca,O
292-8,.,O
292-9,Končni,O
292-9,stroški,O
292-9,spota,O
292-9,so,O
292-9,mnogo,O
292-9,višji,O
292-9,od,O
292-9,predvidenih,O
292-9,",",O
292-9,tako,O
292-9,da,O
292-9,vsak,O
292-9,vaš,O
292-9,prispevek,O
292-9,še,O
292-9,vedno,O
292-9,ogromno,O
292-9,šteje,O
292-9,.,O
292-10,Na,O
292-10,voljo,O
292-10,je,O
292-10,27,O
292-10,VIP,O
292-10,vstopnic,O
292-10,za,O
292-10,premiero,O
292-10,spota,O
292-10,17.7.,O
292-10,ob,O
292-10,20,O
292-10,h,O
292-10,v,O
292-10,SitiTeatru,B-LOC
292-10,in,O
292-10,245,O
292-10,za,O
292-10,predpremiero,O
292-10,spota,O
292-10,na,O
292-10,isti,O
292-10,dan,O
292-10,",",O
292-10,na,O
292-10,istem,O
292-10,mestu,O
292-10,ob,O
292-10,18,O
292-10,h.,O
292-10,Na,O
292-10,voljo,O
292-10,so,O
292-10,le,O
292-10,še,O
292-10,do,O
292-10,7.,O
292-10,julija,O
292-10,",",O
292-10,v,O
292-10,okviru,O
292-10,moje,O
292-10,Adrifund,O
292-10,kampanje,O
292-10,!,O
292-11,Upam,O
292-11,",",O
292-11,da,O
292-11,se,O
292-11,vidimo,O
292-11,!,O
292-12,In,O
292-12,še,O
292-12,enkrat,O
292-12,-,O
292-12,NAJLEPŠA,O
292-12,HVALA,O
292-12,",",O
292-12,"""",O
292-12,je,O
292-12,na,O
292-12,Facebooku,O
292-12,napisal,O
292-12,Klemen,O
292-12,.,O
292-13,Videospot,O
292-13,oziroma,O
292-13,parodija,O
292-13,na,O
292-13,Donalda,O
292-13,Trumpa,O
292-13,je,O
292-13,posneta,O
292-13,.,O
292-14,Premiera,O
292-14,bo,O
292-14,torej,O
292-14,17.,O
292-14,julija,O
292-14,ob,O
292-14,20.,O
292-14,uri,O
292-14,v,O
292-14,SitiTeatru,O
292-14,.,O
292-15,Svet,O
292-15,24.,O
294-0,Kandidat,O
294-0,Donald,B-PER
294-0,Trump,I-PER
294-1,Milijarder,O
294-1,iz,O
294-1,New,B-LOC
294-1,Yorka,I-LOC
294-1,Donald,O
294-1,Trump,O
294-1,je,O
294-1,premagal,O
294-1,še,O
294-1,zadnjo,O
294-1,oviro,O
294-1,do,O
294-1,nominacije,O
294-1,republikanske,O
294-1,stranke,O
294-1,za,O
294-1,kandidata,O
294-1,za,O
294-1,predsednika,O
294-1,ZDA,B-LOC
294-1,na,O
294-1,volitvah,O
294-1,novembra,O
294-1,letos,O
294-1,.,O
294-2,Zbral,O
294-2,je,O
294-2,1238,O
294-2,glasov,O
294-2,delegatov,O
294-2,",",O
294-2,kar,O
294-2,je,O
294-2,eden,O
294-2,več,O
294-2,od,O
294-2,potrebnega,O
294-2,minimalnega,O
294-2,števila,O
294-2,.,O
294-3,Delegati,O
294-3,",",O
294-3,ki,O
294-3,jih,O
294-3,zvezne,O
294-3,države,O
294-3,pošljejo,O
294-3,na,O
294-3,konvencijo,O
294-3,stranke,O
294-3,",",O
294-3,odločajo,O
294-3,",",O
294-3,kdo,O
294-3,postane,O
294-3,kandidat,O
294-3,stranke,O
294-3,za,O
294-3,predsednika,O
294-3,ZDA,O
294-3,.,O
294-4,Trumpu,O
294-4,so,O
294-4,manjkajoče,O
294-4,glasove,O
294-4,v,O
294-4,četrtek,O
294-4,zagotovili,O
294-4,neodvisni,O
294-4,delegati,O
294-4,iz,O
294-4,Severne,B-LOC
294-4,Dakote,I-LOC
294-4,",",O
294-4,Kolorada,B-LOC
294-4,in,O
294-4,Pensilvanije,B-LOC
294-4,.,O
294-5,Zvezne,O
294-5,države,O
294-5,namreč,O
294-5,na,O
294-5,konvencijo,O
294-5,stranke,O
294-5,poleg,O
294-5,strankarsko,O
294-5,vezanih,O
294-5,delegatov,O
294-5,pošljejo,O
294-5,tudi,O
294-5,neodvisne,O
294-5,delegate,O
294-5,.,O
294-6,V,O
294-6,nasprotju,O
294-6,s,O
294-6,strankarsko,O
294-6,vezanimi,O
294-6,delegati,O
294-6,",",O
294-6,ki,O
294-6,jih,O
294-6,je,O
294-6,večina,O
294-6,",",O
294-6,118,O
294-6,neodvisnih,O
294-6,delegatov,O
294-6,na,O
294-6,konvenciji,O
294-6,stranke,O
294-6,lahko,O
294-6,podpre,O
294-6,kogarkoli,O
294-6,.,O
294-7,Konvencija,O
294-7,republikanske,O
294-7,stranke,O
294-7,bo,O
294-7,julija,O
294-7,v,O
294-7,Clevelandu,B-LOC
294-7,.,O
294-8,Med,O
294-8,delegati,O
294-8,",",O
294-8,ki,O
294-8,so,O
294-8,se,O
294-8,odločili,O
294-8,podpreti,O
294-8,Trumpa,O
294-8,",",O
294-8,je,O
294-8,Pam,B-PER
294-8,Pollard,I-PER
294-8,iz,O
294-8,Oklahome,B-LOC
294-8,.,O
294-9,Podprla,O
294-9,ga,O
294-9,bo,O
294-9,",",O
294-9,ker,O
294-9,je,O
294-9,prepričal,O
294-9,del,O
294-9,"""",O
294-9,naših,O
294-9,volivcev,O
294-9,",",O
294-9,ki,O
294-9,jim,O
294-9,ni,O
294-9,všeč,O
294-9,",",O
294-9,kje,O
294-9,je,O
294-9,naša,O
294-9,država,O
294-9,"""",O
294-9,",",O
294-9,je,O
294-9,dejala,O
294-9,.,O
294-10,Več,O
294-10,delegatov,O
294-10,pravi,O
294-10,",",O
294-10,da,O
294-10,ga,O
294-10,bodo,O
294-10,podprli,O
294-10,zato,O
294-10,",",O
294-10,ker,O
294-10,je,O
294-10,zmagal,O
294-10,na,O
294-10,strankarskih,O
294-10,volitvah,O
294-10,v,O
294-10,njihovi,O
294-10,zvezni,O
294-10,državi,O
294-10,.,O
294-11,Zdaj,O
294-11,ko,O
294-11,ima,O
294-11,dovolj,O
294-11,glasov,O
294-11,",",O
294-11,je,O
294-11,po,O
294-11,poročanju,O
294-11,ameriških,O
294-11,medijev,O
294-11,pričakovati,O
294-11,",",O
294-11,da,O
294-11,bo,O
294-11,Donald,O
294-11,Trump,O
294-11,na,O
294-11,konvenciji,O
294-11,v,O
294-11,Clevelandu,O
294-11,v,O
294-11,prvem,O
294-11,krogu,O
294-11,potrjen,O
294-11,kot,O
294-11,kandidat,O
294-11,stranke,O
294-11,za,O
294-11,predsednika,O
294-11,ZDA,O
294-11,.,O
294-12,Vseh,O
294-12,delegatov,O
294-12,",",O
294-12,ki,O
294-12,se,O
294-12,bodo,O
294-12,udeležili,O
294-12,konvencije,O
294-12,",",O
294-12,je,O
294-12,2472.,O
294-13,Trump,O
294-13,je,O
294-13,na,O
294-13,strankarskih,O
294-13,volitvah,O
294-13,premagal,O
294-13,16,O
294-13,protikandidatov,O
294-13,.,O
294-14,Zadnji,O
294-14,se,O
294-14,je,O
294-14,na,O
294-14,začetku,O
294-14,maja,O
294-14,odločil,O
294-14,izstopiti,O
294-14,iz,O
294-14,tekme,O
294-14,za,O
294-14,nominacijo,O
294-14,stranke,O
294-14,za,O
294-14,predsednika,O
294-14,ZDA,O
294-14,guverner,O
294-14,Ohia,B-LOC
294-14,John,B-PER
294-14,Kasich,I-PER
294-14,.,O
294-15,Zdaj,O
294-15,je,O
294-15,glavno,O
294-15,vprašanje,O
294-15,",",O
294-15,koga,O
294-15,si,O
294-15,bo,O
294-15,Donald,O
294-15,Trump,O
294-15,izbral,O
294-15,za,O
294-15,podpredsednika,O
294-15,.,O
294-16,Trump,O
294-16,je,O
294-16,razklal,O
294-16,republikansko,O
294-16,stranko,O
294-16,",",O
294-16,a,O
294-16,njeno,O
294-16,vodstvo,O
294-16,jo,O
294-16,zdaj,O
294-16,skuša,O
294-16,spet,O
294-16,poenotiti,O
294-16,.,O
294-17,Njegovi,O
294-17,nasprotniki,O
294-17,mu,O
294-17,očitajo,O
294-17,žaljive,O
294-17,izjave,O
294-17,o,O
294-17,ženskah,O
294-17,in,O
294-17,sovražne,O
294-17,izjave,O
294-17,o,O
294-17,priseljencih,O
294-17,",",O
294-17,podporniki,O
294-17,pa,O
294-17,izpostavljajo,O
294-17,",",O
294-17,da,O
294-17,je,O
294-17,stranki,O
294-17,zagotovil,O
294-17,nove,O
294-17,volivce,O
294-17,.,O
294-18,Steve,B-PER
294-18,House,I-PER
